FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2940381,N,II,52.0,3022,3.903974771499634,7.267108917236328,12.355751991271973,0.0
2940381,N,II,43.0,2715,3.714484691619873,6.1875715255737305,16.726566314697266,0.0
2940694,Y,II,5.8,465,12.708963394165039,24.617481231689453,37.0199089050293,0.017204301075268817
2940820,N,II,83.3,4946,7.127731800079346,11.116796493530273,21.306394577026367,0.0
2940820,N,II,21.900000000000002,1297,8.455151557922363,13.646732330322266,20.86880874633789,0.0
2941162,N,II,20.0,1200,1.4170730113983154,2.129870891571045,3.401542901992798,0.0
2941162,N,II,39.0,2280,1.5570871829986572,2.3355793952941895,4.841386318206787,0.0
2941067,Y,II,22.0,1406,9.905762672424316,18.73405647277832,41.60599136352539,0.04054054054054054
2941067,Y,II,19.0,1152,8.849010467529297,15.722335815429688,26.415239334106445,0.0
2941253,Y,II,14.6,854,24.73699188232422,34.850730895996094,41.37985610961914,0.3126463700234192
2941253,Y,II,6.3,395,19.580129623413086,25.299358367919922,29.64766502380371,0.0
2941003,N,II,111.0,8973,5.031567096710205,8.592181205749512,15.642714500427246,0.0
2941327,N,II,5.0,329,20.546552658081055,30.490657806396484,37.37871170043945,0.10638297872340426
2941327,N,II,1.0,36,17.78793716430664,23.48663330078125,26.521459579467773,0.0
2941381,Y,II,23.3,1446,20.904911041259766,31.632707595825195,49.39834976196289,0.12448132780082988
2941032,N,III,5.0,234,8.816462516784668,13.408496856689453,14.823339462280273,0.0
2941032,N,III,6.0,340,20.117294311523438,24.494239807128906,31.280410766601562,0.0058823529411764705
2941032,N,III,80.0,4669,8.98012638092041,18.51552391052246,37.123939514160156,0.014135789248233027
2941310,N,III,25.0,1499,3.5210354328155518,7.199840545654297,12.323192596435547,0.0
2941450,Y,II,6.2,480,27.493738174438477,41.88045883178711,55.50694274902344,0.34375
2941472,N,II,8.0,171,6.884716987609863,11.726580619812012,16.58566665649414,0.0
2941472,N,II,2.5,47,5.31215238571167,7.343621253967285,9.751541137695312,0.0
2941487,N,III,30.0,1961,8.303389549255371,14.750937461853027,26.957473754882812,0.0
2941477,Y,II,0.3,18,9.012020111083984,15.158387184143066,19.888593673706055,0.0
2941477,Y,II,18.0,836,12.298715591430664,19.706188201904297,30.025449752807617,0.0011961722488038277
2941477,Y,II,35.0,1993,11.150259971618652,18.231441497802734,36.66728591918945,0.011038635223281485
2941477,Y,II,6.0,156,7.407856464385986,14.008684158325195,22.59003448486328,0.0
2941477,Y,II,0.3,19,10.318135261535645,14.021056175231934,17.695690155029297,0.0
2941477,Y,II,5.0,244,9.015815734863281,20.41631317138672,27.304004669189453,0.0
2941477,Y,II,9.0,601,14.079806327819824,20.971792221069336,31.55763053894043,0.004991680532445923
2941477,Y,II,7.0,417,10.390708923339844,14.231057167053223,18.169551849365234,0.0
2941477,Y,II,4.0,278,12.896087646484375,17.90380096435547,24.798524856567383,0.0
2941725,Y,III,3.0,518,22.941308975219727,36.761878967285156,46.30922317504883,0.22586872586872586
2941725,Y,III,98.0,7475,19.136608123779297,32.85295486450195,52.6091423034668,0.1479598662207358
2941724,Y,III,96.7,7083,17.20831298828125,30.34540367126465,56.26921081542969,0.1058873358746294
2941750,Y,III,109.0,7669,12.278888702392578,21.16277313232422,37.86497116088867,0.01186595384013561
2941801,Y,III,9.4,8132,12.693187713623047,20.835229873657227,36.394775390625,0.00823905558288244
2941779,Y,III,49.300000000000004,3360,12.407581329345703,26.836271286010742,41.112464904785156,0.06458333333333334
2941803,Y,III,30.0,1891,29.39478874206543,38.0693244934082,45.75933074951172,0.5494447382337387
2941805,Y,III,1.0,76,9.70332145690918,14.964142799377441,15.986929893493652,0.0
2941805,Y,III,20.0,1176,9.025191307067871,13.374788284301758,17.914562225341797,0.0
2941785,N,III,56.800000000000004,3373,12.186678886413574,21.50168800354004,36.583702087402344,0.018084790987251704
2941833,N,IVG,22.6,1348,1.4822245836257935,2.6119635105133057,5.320434093475342,0.0
2941780,N,III,22.0,1240,10.177681922912598,14.082716941833496,20.08594512939453,0.0
2941769,Y,III,52.800000000000004,3562,16.362335205078125,35.994529724121094,51.0919075012207,0.23469960696238068
2941768,N,III,109.0,6187,1.391464352607727,2.3660175800323486,4.481857776641846,0.0
